Brouwer,Naam,Soort,Percentage,Untappd Rating,Aantal Ratings
VAN MOLL,NIRVANA,Dry-hopped witbier,5.2%,3.742,66
VAN MOLL,MAIN STAGE,Modern Westcoast IPA,5.8%,3.736,15
VAN MOLL,DREAMCATCHER,NEIPA,6%,3.705,2644
VAN MOLL,HOLY HOPSTER,IPA with oranges and mandarins,6%,3.411,1230
VAN MOLL,TOEWIJDING,Belgian blonde ale,6.5%,3.416,23477
VAN MOLL,THREE AMIGOS,Cathaca brrel-aged Belgian strong ale,9.5%,3.777,641
VAN MOLL,THE AZTEC MYSTIC,Mexican spiced imperial stout,10%,3.649,1007
VAN MOLL,DE KOP IS ERAF,Quadruple NEIPA,13.5%,NA,NA
VAN MOLL,DE STOUT VAN HURMUZ,Dubai stout,11%,NA,NA
DOK,SHIRLEY,Session IPA,4.3%,3.659,71
DOK,STAAT DIE F*****G DAMPKAP AAN?,Smoked Vaerzen,5.6%,NA,NA
DOK,TOOTSKE,Fig leaf wild ale,6.5%,NA,NA
DOK,YOU DRIVER! KIEKIOS! OPUS!,Imperial rye saison,7%,3.591,215
GAMMA,UNDULATION ,"Sour w raspberry, rhubarb S blackcurrant ",5%,3.594,3336
GAMMA,ENANTIOMER,Westcoast IPA,6.5%,NA,NA
GAMMA,CORT CLOUD,Double IPA,8%,3.617,23
GAMMA,OBJECT MAGNITUDE,Bourbon barrel aged imperial stout,11%,3.798,901
HOP HOOLIGANS,RAINBOW EYES: PEACH MANGO,Ice cream smoothie,6%,4.191,215
HOP HOOLIGANS,NUTBUSTERS: THE THREEOUEL,Double milkshake IPA,8%,3.500,170
HOP HOOLIGANS,LIFE ETERNAL,Triple NEIPA,10%,3.913,349
HOP HOOLIGANS,LUNCH BOX BULLY,Peanut butter S jelly imperial stout,12%,3.808,93
HOPPY PEOPLE,EXTRATROPICAL CYCLONE,"Coconut, mango, passionfruit and banana sour",5.3%,4.043,570
HOPPY PEOPLE,STIGMATA,Double NEIPA,7.2%,4.520,24
HOPPY PEOPLE,CA PLANE POUR HOI,Double NEIPA,7.5%,4.647,20
HOPPY PEOPLE,MOONFALL,Double NEIPA,8%,4.631,19
JOPEN,GUAVE GOT THE LOVE,Session IPA,3.5%,NA,NA
JOPEN,DISCO GINFERNO,Gins Tonic IPA,6.5%,3.238,10192
JOPEN,DUBBEL WIT,Heavy witbier,7.5%,3.552,21621
JOPEN,HIBERNATION,American barley wine,10%,3.658,1896
KEES,ZEEUWSE LUST,Weizen,5%,3.339,12804
KEES,OATMEAL STOUT,Oatmeal stout,5%,3.652,18
KEES,LA CRISPISSIMA,Italian pilsner,5%,3.34,25
KEES,DOUBLE HAZE,Double NEIPA,8%,3.783,238
KEES,SUPER COLLAB,Dark barley wine,12.8%,3.970,2880
KEES,BOTTLE BREW #9,BA imperial porter/stout blend,15%,3.934,114
KOMPAAN,INNER FIRE,cold IPA,5%,3.593,743
KOMPAAN,SWEET SCIENCE,Westcoast IPA,7%,3.594,1154
KOMPAAN,SUN BLOCK,Imperial stout,11.4%,3.971,417
KOMPAAN,BEAST MODE - SUWO WITCH,Sliyovic barrel-aged quadruple,11.5%,NA,NA
DE KROWE HARING,SNAPPER,Low ABV Saison,2.5%,NA,NA
DE KROWE HARING,TUCUXI,Fruited sour,5.2%,NA,NA
DE KROWE HARING,INKTVIS,Black IPA,6%,NA,NA
DE KROWE HARING,WHALE SHARK MOSAIC CRY/CRYO pop,Double NEIPA,8%,NA,NA
